ncppb_number	current_name_raw	canonical_name	name_as_received	alternative_names	expected_genus	expected_taxid	host	country	other_references_raw	catalogue_url	source_snapshot_sha256	record_html_start	record_html_end
NCPPB 2826	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas translucens	Xanthomonas translucens f.sp. undulosa Smith et al. 1919	Xanthomonas campestris pv. undulosa (Smith et al. 1919) Dye 1978	Xanthomonas		Triticum sp. x Secale sp. (triticale)	Canada	The donor reference is 5673	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2826		1434725	1438007
NCPPB 2827	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas cerealis	Xanthomonas translucens f.sp cerealis Hagborg 1942	Xanthomonas campestris pv. cerealis (Hagborg 1942) Dye 1978	Xanthomonas		Agropyron repens	Canada	The donor reference is 5690	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2827		1438007	1441233
NCPPB 2828	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas translucens	Xanthomonas translucens f.sp. undulosa Smith et al	Xanthomonas campestris pv. undulosa (Smith et al. 1919) Dye 1978	Xanthomonas		Triticum aestivum	Canada	The donor reference is 5777	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2828		1441233	1444489
NCPPB 2829	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens	X. translucens f. sp. hordei-avenae	Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978	Xanthomonas		Hordeum vulgare	Canada	The donor reference is 5781	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2829		1444489	1447734
NCPPB 2831	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas cerealis	Xanthomonas translucens f.sp cerealis Hagborg 1942	Xanthomonas campestris pv. cerealis (Hagborg 1942) Dye 1978	Xanthomonas		Triticum durum.	Canada	The donor reference is 5897	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2831		1447734	1450959
NCPPB 2832	Xanthomonas citri pv. aracearum (Berniac 1974) Constantin et al. 2016 comb. nov.	Xanthomonas citri			Xanthomonas		Xanthosoma sagittifolium	Guadeloupe	"This isolate is also in the collections; ICMP 5381, LMG 532
This isolate was isolated by ex M. Beramis"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2832		1450959	1453515
NCPPB 2834	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas		Gossypium hirsutum	Tanzania	"The donor reference is UKP 33
The source of this isolate was ex S.J. Brown"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2834		1453515	1457132
NCPPB 2835	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas		Gossypium hirsutum	Tanzania	"The donor reference is UKP 37
The source of this isolate was ex S.J. Brown"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2835		1457132	1460749
NCPPB 2836	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas			Tanzania		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2836		1460749	1463728
NCPPB 2837	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas		Gossypium hirsutum	Tanzania	"The donor reference is UKP 783
This isolate was isolated by ex D.L. Ebbels"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2837		1463728	1467346
NCPPB 2838	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas		Gossypium hirsutum	Tanzania	"The donor reference is UKP 765
This isolate was isolated by ex D.L. Ebbels"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2838		1467346	1470964
NCPPB 2839	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas		Gossypium hirsutum	Tanzania	"The donor reference is UKP 784
This isolate was isolated by ex D.L. Ebbels"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2839		1470964	1474582
NCPPB 2840	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas		Gossypium hirsutum	Tanzania	The donor reference is UKP 852	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2840		1474582	1478152
NCPPB 2856	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Chrysanthemum morifolium	Netherlands	This isolate was isolated by F.W. Catton C798	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2856		1478152	1481577
NCPPB 2857	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica napus	UK	This isolate was isolated by W.F. Catton C799	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2857		1481577	1484316
NCPPB 2859	Stenotrophomonas sp.	Stenotrophomonas sp	Xanthomonas corylina	Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978	Stenotrophomonas		Corylus maxima	Turkey	The source of this isolate was ex D. Massfeller ex R. Hazneci	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2859		1484316	1487911
NCPPB 2864	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Chrysanthemum morifolium	Netherlands	This isolate was isolated by F.W. Catton 211/75/2	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2864		1487911	1491340
NCPPB 2865	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Chrysanthemum morifolium	Netherlands	This isolate was isolated by F.W. Catton 212/75/1	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2865		1491340	1494717
NCPPB 2866	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Chrysanthemum morifolium	Netherlands	This isolate was isolated by F.W. Catton 212/75/6	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2866		1494717	1498103
NCPPB 2876	Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas campestris			Xanthomonas		Cannabis sativa	Romania	This isolate was isolated by V. Severin XC7	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2876		1498103	1500551
NCPPB 2877	Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas campestris			Xanthomonas		Cannabis sativa	Romania	"This isolate is also in the collections; ICMP 6570, LMG 9042, CCUG 28779, DSMZ 44278, ATCC 49725
This isolate was isolated by V. Severin XC8"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2877		1500551	1503385
NCPPB 2879	Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas campestris			Xanthomonas		Cannabis sativa	Romania	This isolate was isolated by V. Severin XC12	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2879		1503385	1505834
NCPPB 2885	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974		Xanthomonas		Mangifera indica	Reunion	This isolate was isolated by ex J.G. Luisetti G21.5	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2885		1505834	1508947
NCPPB 2894	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria	Xanthomonas alfalfae	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978	Xanthomonas		Medicago sativa	Australia	This isolate was isolated by M.L. Moffett 0238	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2894		1508947	1512204
NCPPB 2896	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas corylina	Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978	Xanthomonas		Corylus avellana	UK	The donor reference is 164/7	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2896		1512204	1515420
NCPPB 2898	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas corylina	Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978	Xanthomonas		Corylus avellana	UK	"This isolate is also in the collections; ICMP 7080
This isolate was isolated by P. Roberts A724A"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2898		1515420	1518708
NCPPB 2904	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens	Xanthomonas translucens Jones et al. 1917	Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978	Xanthomonas		Lolium multiflorum	UK	This isolate was isolated by P. Roberts A736	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2904		1518708	1521968
NCPPB 2910	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas		Manihot esculenta	Nigeria	"The donor reference is B5271
This isolate was isolated by ex R.W. Schneider 1186"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2910		1521968	1525291
NCPPB 2914	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	Xanthomonas citri	Xanthomonas phaseoli f.sp.rhynchosiae Sabet et al. 1969	Xanthomonas campestris pv. rhynchosiae (Sabet et al. 1969) Dye 1978	Xanthomonas		Rhynchosiae phaseoloides	Barbados	"The donor reference is B5300
The source of this isolate was ex D. Norse 507"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2914		1525291	1528624
NCPPB 2918	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Crambe sp.	Malawi	"The donor reference is BS469
This isolate was isolated by J.F. Bradbury BS469"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2918		1528624	1531876
NCPPB 2919	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas		Manihot esculenta	Zaire	"The donor reference is B5530
This isolate was isolated by ex R.J. Williams CBZII 5972"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2919		1531876	1535202
NCPPB 2920	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens	Xanthomonas translucens Jones et al. 1917	Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978	Xanthomonas		Triticum durum x Secale cereale.	Mexico	This isolate was isolated by J.F. Bradbury B5562	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2920		1535202	1538484
NCPPB 2921	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae	Xanthomonas oryzicola Fang et al. 1957	Xanthomonas campestris pv. oryzicola (Fang et al. 1957) Dye 1978	Xanthomonas		Oryza sativa	Malaysia	"The donor reference is B5566
This isolate was isolated by ex P.S.W. Lin PP1312/60"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2921		1538484	1541769
NCPPB 2922	Xanthomonas sp. Dowson 1939	Xanthomonas sp	Xanthomonas sp.		Xanthomonas		Matthiola incana, stock	Rhodesia	"The donor reference is B5577
This isolate was isolated by J.F. Bradbury"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2922		1541769	1544477
NCPPB 2925	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Oryza sativa	Denmark	"The donor reference is B5582
This isolate was isolated by ex C. Nwigwe YI"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2925		1544477	1547925
NCPPB 2927	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	Xanthomonas		Juglans regia	Iran	This isolate was isolated by J.F. Bradbury B5632	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2927		1547925	1551392
NCPPB 2928	Xanthomonas campestris pv. azadirachtae (Desai et al.1966) Dye 1978	Xanthomonas campestris			Xanthomonas		Azadirachta indica	India	"The donor reference is B5643
This isolate was isolated by ex B.P.Chakravarti N318"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2928		1551392	1553902
NCPPB 2930	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola	Xanthomonas holcicola Elliott 1930	Xanthomonas campestris pv. holcicola (Elliott 1930) Dye 1978	Xanthomonas		Sorghum vulgare	Solomon Isles	"The donor reference is B5806
This isolate was isolated by ex G. Jackson PP223"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2930		1553902	1557510
NCPPB 2931	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri	Xanthomonas glycines	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas		Glycine max	Nepal	This isolate was isolated by J.F. Bradbury B5830	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2931		1557510	1560737
NCPPB 2932	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	Xanthomonas euvesicatoria			Xanthomonas		Datura metel	India	"The donor reference is B5480
This isolate was isolated by ex B.S. Siradhana"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2932		1560737	1563258
NCPPB 2933	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Calendula officinalis	UK	"The donor reference is B6132
This isolate was isolated by J.F. Bradbury B6132"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2933		1563258	1566638
NCPPB 2934	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Cayratia carnosa	India	"The donor reference is B6141
This isolate was isolated by ex P.S. Shekhawat XWl"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2934		1566638	1569907
NCPPB 2935	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	Xanthomonas euvesicatoria			Xanthomonas		Datura stramonium	India	"The donor reference is B6144
This isolate was isolated by ex P.S. Shekhawat D42"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2935		1569907	1572436
NCPPB 2936	Xanthomonas euvesicatoria pv. argemones (Srinivasan et al. 1961) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria			Xanthomonas		Argemone mexicana	India	"The donor reference is B 6149
This isolate was isolated by ex P.S. Shekhawat XA1"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2936		1572436	1574975
NCPPB 2938	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri	Xanthomonas glycines	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas		Glycine max	Indonesia	"The donor reference is B6617
This isolate was isolated by ex Hasanuddin"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2938		1574975	1578233
NCPPB 2949	Xanthomonas fragariae Kennedy and King 1962	Xanthomonas fragariae	Xanthomonas fragariae Kennedy and King 1962		Xanthomonas		Fragaria ananassa	Australia	"The donor reference is DAR 26146
This isolate was isolated by ex J. McGeghan
The source of this isolate was ex N.S.W. Dept. of Agri."	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2949		1578233	1581416
NCPPB 2953	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi	Aplanobacter populi	Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978	Xanthomonas		Populus trichocarpa	France	"The donor reference is Tri lb
This isolate is also in the collections; ICPB XP228"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2953		1581416	1584669
NCPPB 2955	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi	Aplanobacter populi	Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978	Xanthomonas		Populus canadensis cv. regenerat a	France	"The donor reference is Bt3
This isolate is also in the collections; ICPB XP230"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2955		1584669	1587934
NCPPB 2959	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi	Aplanobacter populi	Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978	Xanthomonas		Populus canadensis cv. Regenerata	France	"The donor reference is Reg
This isolate is also in the collections; ICMP 5816, ICPB XP231, ATCC 51165, CFBP 1817, LMG 5743"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2959		1587934	1591243
NCPPB 2960	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi	Aplanobacter populi	Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978	Xanthomonas		Populus canadensis cv. Brabantica	France	"The donor reference is BII
This isolate is also in the collections; ICPB XP232"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2960		1591243	1594759
NCPPB 2963	Xanthomonas populi subsp. populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi	Aplanobacter populi	Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978 Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978	Xanthomonas		Populus trichocarpa x Populus deltoides	Belgium	"The donor reference is S62b
This isolate is also in the collections; ICPB XP235"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2963		1594759	1598261
NCPPB 2965	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas		Manihot esculenta	Brazil	"The donor reference is IBBF-105
This isolate was isolated by ex J.R. Neto"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2965		1598261	1601576
NCPPB 2967	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas		Manihot esculenta	Brazil	"The donor reference is IBBF-165
This isolate was isolated by ex A.G. Zagatto"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2967		1601576	1604894
NCPPB 2968	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939		Xanthomonas		Capsicum frutescens	USA	"This isolate is also in the collections; ATCC 11633, DSM 19128, CFBP 6864, LMG 27970
This isolate was isolated by ex W.H. Burkholder XV25
The source of this isolate was ex D.W. Dye X12"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2968		1604894	1607821
NCPPB 2969	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans	Xanthomonas albilineans		Xanthomonas		Saccharum officinarum	Fiji	"This isolate is also in the collections; ATCC 33915, CFBP 2523, ICMP 196, LMG 494, DSMZ 3583
This isolate was isolated by ex D.W. Dye ZA6"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2969		1607821	1610619
NCPPB 2970	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	Xanthomonas campestris			Xanthomonas		Papaver rhoeas	USA	"This isolate is also in the collections; ATCC 14179, ICMP 220, LMG 809
This isolate was isolated by ex M.K. Bryan 47
The source of this isolate was ex D.W. Dye ZI 2 ex ICPB XP5"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2970		1610619	1613230
NCPPB 2973	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas phaseoli f.sp. cassiae	Xanthomonas campestris pv. cassiae (Kulkarni et al. 1951) Dye 1978	Xanthomonas		Cassia tora	Unknown	"This isolate is also in the collections; ATCC 11638, ICPB XC112, M.K. Patel 6, ICMP 358, LMG 675, CFBP 2973
This isolate was isolated by M.K. Patel
The source of this isolate was ex D.W. Dye YD2 ex W.H. Burkholder XC18"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2973		1613230	1616667
NCPPB 2977	Xanthomonas citri pv. thirumalacharii (Padhya & Patel 1964) Constantin et al. 2016 comb. nov.	Xanthomonas citri			Xanthomonas		Triumfetta pilosa	India	"This isolate is also in the collections; ATCC 23577, LMG 872, ICMP 5852
This isolate was isolated by M.K. Patel
The source of this isolate was ex D.W. Dye WK2 ex M.J. Thirumalachar"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2977		1616667	1619614
NCPPB 2978	Xanthomonas campestris pv. zantedeschiae (Joubert & Truter 1972) Dye 1978	Xanthomonas campestris			Xanthomonas		Zantedeschia aethiopica	South Africa	"This isolate is also in the collections; ICMP 2372, LMG 9059
The source of this isolate was ex D.W. Dye VNI ex J.J. Joubert Arum 3"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2978		1619614	1622506
NCPPB 2982	Xanthomonas cissicola (Takimoto 1939) Rudra and Gupta 2021	Xanthomonas cissicola	Pseudomonas cissicola (Takimoto 1939) Burkholder 1948	Xanthomonas sp.	Xanthomonas		Cissus japonica	Japan	"This isolate is also in the collections; ICMP 8561, LMG 2167, ATCC 33616, CFBP 2432
This isolate was isolated by ex M. Goto PC1"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2982		1622506	1626219
NCPPB 2983	Xanthomonas campestris pv. phormiicola (Takimoto 1933) Dye 1978	Xanthomonas campestris	Xanthomonas campestris pv. phormicola (Takimoto 1933) Dye 1978		Xanthomonas		Phormium tenax	Japan	"This isolate is also in the collections; ICMP 4294, LMG 702
This isolate was isolated by ex M. Goto XPl"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2983		1626219	1629045
NCPPB 2985	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas hortorum	Xanthomonas campestris pv. pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	Xanthomonas		Pelargonium peltatum	New Zealand	"This isolate is also in the collections; CFBP 2533, ICMP 4321, LMG 7314
The source of this isolate was ex D.W. Dye ZJ12 ex W.J. Kemp 41"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2985		1629045	1632395
NCPPB 2986	Xanthomonas campestris pv. aberrans (Knosel 1961) Dye 1978	Xanthomonas campestris	Xanthomonas campestris var. aberrans Knosel 1961		Xanthomonas		Brassica oleracea var. capitata	Australia	"This isolate is also in the collections; ICMP 4805, LMG 9037
This isolate was isolated by ex M.L. Moffett 0406"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2986		1632395	1635476
NCPPB 2987	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi	Aplanobacter populi	Xanthomonas campestris pv. populi (Ride 1958) Ride & Ride 1978	Xanthomonas		Populus koreana trichocarpa	UK	"This isolate is also in the collections; ICPB XP 237
This isolate was isolated by ex D.A. Burdekin"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2987		1635476	1638751
NCPPB 2997	Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas campestris pv. cyamopsidis (Patel et al.1953) Dye 1978	Xanthomonas campestris pv. cyamopsidis (Patel et al.1953) Dye 1978	Xanthomonas		Cyamopsis tetragonolobus	USA	This isolate was isolated by ex R.G. Orellana 14	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2997		1638751	1642051
NCPPB 2998	Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas campestris pv. cyamopsidis (Patel et al.1953) Dye 1978	Xanthomonas campestris pv. cyamopsidis (Patel et al.1953) Dye 1978	Xanthomonas		Cyamopsis tetragonolobus	USA	This isolate was isolated by ex R.G. Orellana 19	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2998		1642051	1645351
NCPPB 3002	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae	Xanthomonas campestris pv. oryzae(Ishiyama 1922) Dye 1978	Xanthomonas campestris pv. oryzae (Ishyama 1922) Dye 1978	Xanthomonas		Oryza sativa	India	"This isolate is also in the collections; ATCC 35933, ICMP 3125, LMG 5047, CFBP 2532
This isolate was isolated by ex Y.P. Rao"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=3002		1645351	1648691
NCPPB 3003	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	Xanthomonas		Begonia sp.	New Zealand	"This isolate is also in the collections; ICPB XB110, NZRCC 10031, CFBP 2524, ICMP 194, ATCC 49082, LMG 7303
This isolate was isolated by ex D.W. Dye Z4"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=3003		1648691	1652076
