ncppb_number	other_references	script_included_identifiers	llm_expected_identifiers	missing_from_script	extra_in_script	comparison_verdict	llm_notes
NCPPB 2230	This isolate is also in the collections; ICPB XN105, ICMP 5731, LMG 9047 This isolate was isolated by A.M. Patel	ICMP 5731; ICPB XN105; LMG 9047; XN 105	ICMP 5731; LMG 9047; XN 105		ICPB XN105	mismatch	
NCPPB 2247	This isolate was isolated by J.F. Bradbury B3596	B 3596	B 3596			match	Includes one-letter local strain code(s).
NCPPB 2248	The donor reference is B3005 This isolate was isolated by ex R.A. Bailey MR20213	B 3005; MR 20213	B 3005; MR 20213			match	Includes one-letter local strain code(s).
NCPPB 2249	This isolate was isolated by J.F. Bradbury B3891	B 3891	B 3891			match	Includes one-letter local strain code(s).
NCPPB 2250	The donor reference is Dowson 1939 This isolate was isolated by J.F. Bradbury B3516a	B 3516A; DOWSON 1939	B 3516A		DOWSON 1939	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 2251	The donor reference is B3645 This isolate is also in the collections; CFBP 7122 This isolate was isolated by ex D. Yirgou	B 3645; CFBP 7122	B 3645; CFBP 7122			match	Includes one-letter local strain code(s).
NCPPB 2255	The donor reference is 068-1406					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2257	The donor reference is X32	X 32	X 32			match	Includes one-letter local strain code(s).
NCPPB 2258	The donor reference is X42	X 42	X 42			match	Includes one-letter local strain code(s).
NCPPB 2269	This isolate was isolated by M.J. Dervish 1356/2	DERVISH 1356/2			DERVISH 1356/2	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2297	This isolate was isolated by F.W. Catton 85/68	CATTON 85/68			CATTON 85/68	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2336	This isolate was isolated by F.W. Catton C721	C 721			C 721	mismatch	
NCPPB 2337	The donor reference is B63 This isolate is also in the collections; ICPB XE104, ICMP 5382, CFBP 7270, LMG 700	B 63; CFBP 7270; ICMP 5382; ICPB XE104; LMG 700; XE 104	B 63; CFBP 7270; ICMP 5382; LMG 700; XE 104		ICPB XE104	mismatch	Includes one-letter local strain code(s).
NCPPB 2338	The donor reference is B99 This isolate is also in the collections; ICPB XE105	B 99; ICPB XE105; XE 105	B 99; XE 105		ICPB XE105	mismatch	Includes one-letter local strain code(s).
NCPPB 2345	This isolate was isolated by J. Oxtoby A218	A 218	A 218			match	Includes one-letter local strain code(s).
NCPPB 2346	This isolate is also in the collections; ICMP 3151, LMG 810 This isolate was isolated by A.L.G. Pereira SBF-813	ICMP 3151; LMG 810; SBF 813	ICMP 3151; LMG 810; SBF 813			match	
NCPPB 2352	This isolate was isolated by J.W. Miller 069-3050	MILLER 069-3050			MILLER 069-3050	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2368	The donor reference is XPEl This isolate is also in the collections; ICMP 3030, LMG 812 This isolate was isolated by ex J.K. Jindal	ICMP 3030; LMG 812	ICMP 3030; LMG 812			match	
NCPPB 2369	The donor reference is XRI This isolate was isolated by ex J.K. Jindal					match	
NCPPB 2370	The donor reference is XH1 This isolate was isolated by ex J.K. Jindal	XH 1	XH 1			match	
NCPPB 2371	The donor reference is Xal This isolate is also in the collections; ICMP 3033, LMG 499 This isolate was isolated by ex J.K. Jindal	ICMP 3033; LMG 499	ICMP 3033; LMG 499			match	
NCPPB 2372	The donor reference is XFl This isolate is also in the collections; ICMP 3036, LMG 701 This isolate was isolated by ex J.K. Jindal	ICMP 3036; LMG 701	ICMP 3036; LMG 701			match	
NCPPB 2373	The donor reference is XCl This isolate is also in the collections; ICMP 3034, LMG 669 This isolate was isolated by ex J.K. Jindal	ICMP 3034; LMG 669	ICMP 3034; LMG 669			match	
NCPPB 2374	The donor reference is XC2 This isolate was isolated by ex J.K. Jindal	XC 2	XC 2			match	
NCPPB 2375	This isolate is also in the collections; W.J. Dowson 265 This isolate was isolated by ex M.P. Starr XA113	DOWSON 265; XA 113	XA 113		DOWSON 265	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2376	This isolate is also in the collections; W.J. Dowson 266 This isolate was isolated by ex M.P. Starr XA115	DOWSON 266; XA 115	XA 115		DOWSON 266	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2387	The donor reference is PM This isolate was isolated by ex G.S. Shekhawat					match	
NCPPB 2388	The donor reference is PA This isolate is also in the collections; ICMP 3102, LMG 543 This isolate was isolated by ex J.K. Jindal	ICMP 3102; LMG 543	ICMP 3102; LMG 543			match	
NCPPB 2389	The donor reference is B5 This isolate is also in the collections; ICMP 5735 This isolate was isolated by ex G.S. Shekhawat	B 5; ICMP 5735	B 5; ICMP 5735			match	Includes one-letter local strain code(s).
NCPPB 2393	This isolate was isolated by T. Tominaga Xl-6-1	XL 6-1	XL 6-1			match	
NCPPB 2417	The donor reference is YW5 This isolate is also in the collections; ICMP 3103, LMG 736, CFBP 2543 This isolate was isolated by ex D.R.W. Watson	CFBP 2543; ICMP 3103; LMG 736; YW 5	CFBP 2543; ICMP 3103; LMG 736; YW 5			match	
NCPPB 2436	The donor reference is VMl This isolate is also in the collections; ICMP 3518, LMG 536 This isolate was isolated by ex A.L.G. Pereira SBF-913	ICMP 3518; LMG 536; SBF 913	ICMP 3518; LMG 536; SBF 913			match	
NCPPB 2438	This isolate was isolated by N.M. Viljoen 2UP87	VILJOEN 2UP87			VILJOEN 2UP87	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2439	This isolate is also in the collections; ICMP 5762, LMG 8692 This isolate was isolated by A.C. Hayward 0365	HAYWARD 0365; ICMP 5762; LMG 8692	ICMP 5762; LMG 8692		HAYWARD 0365	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2443	This isolate was isolated by J.C. Lozano 23L	LOZANO 23L			LOZANO 23L	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2444	This isolate was isolated by J.C. Lozano 30L	LOZANO 30L			LOZANO 30L	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2446	The donor reference is B5000 This isolate was isolated by ex S. Yoshimura The source of this isolate was ex R.T.V. Fox ex Mizukami H5809	B 5000; H 5809	B 5000		H 5809	mismatch	Includes one-letter local strain code(s).
NCPPB 2475	This isolate is also in the collections; ICMP 3867, LMG 965 This isolate was isolated by M.V. Nayudu 0307	ICMP 3867; LMG 965; NAYUDU 0307	ICMP 3867; LMG 965		NAYUDU 0307	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2490	The donor reference is B4929 This isolate was isolated by ex J. Subbayya	B 4929	B 4929			match	Includes one-letter local strain code(s).
NCPPB 2492	This isolate was isolated by J.F. Bradbury B4568b	B 4568B	B 4568B			match	Includes one-letter local strain code(s).
NCPPB 2493	This isolate was isolated by J.F. Bradbury B4487	B 4487	B 4487			match	Includes one-letter local strain code(s).
NCPPB 2494	The donor reference is B5017 The source of this isolate was ex S.V. Hegde Guar 1	B 5017; GUAR 1	B 5017		GUAR 1	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 2495	This isolate was isolated by J.F. Bradbury B4687	B 4687	B 4687			match	Includes one-letter local strain code(s).
NCPPB 2496	The donor reference is B5078 The source of this isolate was ex H.K. Saksena	B 5078	B 5078			match	Includes one-letter local strain code(s).
NCPPB 2497	The donor reference is B4539 The source of this isolate was ex V.P. Rao ex M.J. Chacko	B 4539	B 4539			match	Includes one-letter local strain code(s).
NCPPB 2498	This isolate is also in the collections; ICMP 5380, LMG 685 This isolate was isolated by J.F. Bradbury B5081	B 5081; ICMP 5380; LMG 685	B 5081; ICMP 5380; LMG 685			match	Includes one-letter local strain code(s).
NCPPB 2499	This isolate was isolated by J.F. Bradbury B4542	B 4542	B 4542			match	Includes one-letter local strain code(s).
NCPPB 2503	This isolate was isolated by ex J.A. Spence The source of this isolate was ex A. Hayward					match	
NCPPB 2517	This isolate was isolated by L.A.E. Baker 507	BAKER 507			BAKER 507	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2550	The donor reference is IBSP-124	IBSP 124	IBSP 124			match	
NCPPB 2567	This isolate is also in the collections; ICMP 203, LMG 7479, ATCC 23378 This isolate was isolated by M. K. Bryan The source of this isolate was ex ICPB XC6 ex P.R. Burkholder ex M.K. Bryan 46	ATCC 23378; BRYAN 46; ICMP 203; ICPB XC6; LMG 7479; XC 6	ATCC 23378; ICMP 203; LMG 7479; XC 6		BRYAN 46; ICPB XC6	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2572	The donor reference is 555 This isolate was isolated by ex R.E. Stall XV-69-1 The source of this isolate was ex T. Egli	XV 69-1	XV 69-1			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2573	The donor reference is 557 This isolate is also in the collections; LMG 929 This isolate was isolated by ex R.E. Stall XV-69-10 The source of this isolate was ex T. Egli	LMG 929; XV 69-10	LMG 929; XV 69-10			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2574	The donor reference is 558 This isolate is also in the collections; LMG 930 This isolate was isolated by ex R.E. Stall XV-69-23 The source of this isolate was ex T. Egli	LMG 930; XV 69-23	LMG 930; XV 69-23			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2575	The donor reference is 560 This isolate is also in the collections; LMG 931 This isolate was isolated by ex R.E. Stall XV-69-13 The source of this isolate was ex T. Egli	LMG 931; XV 69-13	LMG 931; XV 69-13			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2576	The donor reference is 561 This isolate was isolated by ex R.E. Stall XV-E-3 The source of this isolate was ex T. Egli	E 3; XV-E 3	E 3		XV-E 3	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 2586	This isolate was isolated by S. Vir					match	
NCPPB 2587	This isolate was isolated by F.N. Matthee;					match	
NCPPB 2588	This isolate was isolated by F.N. Matthee					match	
NCPPB 2592	The donor reference is ENA-2078 This isolate is also in the collections; ICMP 8917, LMG 9040	ENA 2078; ICMP 8917; LMG 9040	ENA 2078; ICMP 8917; LMG 9040			match	
NCPPB 2593	This isolate is also in the collections; LMG 932 This isolate was isolated by C.F. Robbs ENA-804 The source of this isolate was ex O. Kimura	ENA 804; LMG 932	ENA 804; LMG 932			match	
NCPPB 2594	This isolate is also in the collections; LMG 933 This isolate was isolated by C.F. Robbs ENA-734 The source of this isolate was ex O. Kimura	ENA 734; LMG 933	ENA 734; LMG 933			match	
NCPPB 2595	This isolate was isolated by C.F. Robbs ENA-76	ENA 76	ENA 76			match	
NCPPB 2597	This isolate is also in the collections; ICMP 2299, LMG 690, DSM 18957, CFBP 2542 This isolate was isolated by D.R.W. Watson E78	CFBP 2542; DSM 18957; E 78; ICMP 2299; LMG 690	CFBP 2542; DSM 18957; E 78; ICMP 2299; LMG 690			match	Includes one-letter local strain code(s).
NCPPB 2605	This isolate was isolated by P. Roberts A493	A 493	A 493			match	Includes one-letter local strain code(s).
NCPPB 2614	The donor reference is NU2 This isolate was isolated by ex M.V. Nayudu 0302 The source of this isolate was ex ICMP 3865	ICMP 3865; NAYUDU 0302; NU 2	ICMP 3865; NU 2		NAYUDU 0302	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2615	The donor reference is NU3 This isolate was isolated by ex M.V. Nyaudu 0305	NU 3; NYAUDU 0305	NU 3		NYAUDU 0305	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2616	The donor reference is NU5 This isolate was isolated by ex M.V. Nayaudu 0309	NAYAUDU 0309; NU 5	NU 5		NAYAUDU 0309	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2632	This isolate was isolated by B. Austin D119	D 119	D 119			match	Includes one-letter local strain code(s).
NCPPB 2649	This isolate is also in the collections; ICMP 5719, LMG 533 This isolate was isolated by S.K. Mohan	ICMP 5719; LMG 533	ICMP 5719; LMG 533			match	
NCPPB 2654	This isolate was isolated by F.W. Catton C783	C 783			C 783	mismatch	
NCPPB 2665	The donor reference is IPV-BO 193 This isolate is also in the collections; LMG 841 The source of this isolate was ex D. Alberto IPV BO 193	BO 193; IPV-BO 193; LMG 841	BO 193; LMG 841		IPV-BO 193	mismatch	
NCPPB 2695	This isolate was isolated by ex D. Schmidt					match	
NCPPB 2696	This isolate was isolated by T. Egli 702	EGLI 702			EGLI 702	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2697	This isolate was isolated by T. Egli 703	EGLI 703			EGLI 703	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2698	This isolate was isolated by T. Egli 704	EGLI 704			EGLI 704	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2699	This isolate was isolated by T. Egli 705	EGLI 705			EGLI 705	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2700	This isolate is also in the collections; ICMP 5733, LMG 726, ATCC 29091, CFBP 2053 This isolate was isolated by T. Egli 706	ATCC 29091; CFBP 2053; EGLI 706; ICMP 5733; LMG 726	ATCC 29091; CFBP 2053; ICMP 5733; LMG 726		EGLI 706	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2701	This isolate was isolated by T. Egli 707	EGLI 707			EGLI 707	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2817	The donor reference is 4081					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2819	The donor reference is 4230					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2820	The donor reference is 5262					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2821	The donor reference is 5523 This isolate is also in the collections; ICMP 5755, LMG 892, ATCC 35935, CFBP 2055	ATCC 35935; CFBP 2055; ICMP 5755; LMG 892	ATCC 35935; CFBP 2055; ICMP 5755; LMG 892			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2822	The donor reference is 5558 This isolate is also in the collections; ICMP 5749, LMG 883, CFBP 2539	CFBP 2539; ICMP 5749; LMG 883	CFBP 2539; ICMP 5749; LMG 883			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2825	The donor reference is 5670					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2826	The donor reference is 5673					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2827	The donor reference is 5690					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2828	The donor reference is 5777					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2829	The donor reference is 5781					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2831	The donor reference is 5897					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2832	This isolate is also in the collections; ICMP 5381, LMG 532 This isolate was isolated by ex M. Beramis	ICMP 5381; LMG 532	ICMP 5381; LMG 532			match	
NCPPB 2834	The donor reference is UKP 33 The source of this isolate was ex S.J. Brown	UKP 33	UKP 33			match	
NCPPB 2835	The donor reference is UKP 37 The source of this isolate was ex S.J. Brown	UKP 37	UKP 37			match	
NCPPB 2836						match	
NCPPB 2837	The donor reference is UKP 783 This isolate was isolated by ex D.L. Ebbels	UKP 783	UKP 783			match	
NCPPB 2838	The donor reference is UKP 765 This isolate was isolated by ex D.L. Ebbels	UKP 765	UKP 765			match	
NCPPB 2839	The donor reference is UKP 784 This isolate was isolated by ex D.L. Ebbels	UKP 784	UKP 784			match	
NCPPB 2840	The donor reference is UKP 852	UKP 852	UKP 852			match	
NCPPB 2856	This isolate was isolated by F.W. Catton C798	C 798			C 798	mismatch	
NCPPB 2857	This isolate was isolated by W.F. Catton C799	C 799			C 799	mismatch	
NCPPB 2859	The source of this isolate was ex D. Massfeller ex R. Hazneci					match	
NCPPB 2864	This isolate was isolated by F.W. Catton 211/75/2	CATTON 211/75/2			CATTON 211/75/2	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2865	This isolate was isolated by F.W. Catton 212/75/1	CATTON 212/75/1			CATTON 212/75/1	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2866	This isolate was isolated by F.W. Catton 212/75/6	CATTON 212/75/6			CATTON 212/75/6	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2876	This isolate was isolated by V. Severin XC7	XC 7	XC 7			match	
NCPPB 2877	This isolate is also in the collections; ICMP 6570, LMG 9042, CCUG 28779, DSMZ 44278, ATCC 49725 This isolate was isolated by V. Severin XC8	ATCC 49725; CCUG 28779; DSMZ 44278; ICMP 6570; LMG 9042; XC 8	ATCC 49725; CCUG 28779; DSMZ 44278; ICMP 6570; LMG 9042; XC 8			match	
NCPPB 2879	This isolate was isolated by V. Severin XC12	XC 12	XC 12			match	
NCPPB 2885	This isolate was isolated by ex J.G. Luisetti G21.5	G 21.5	G 21.5			match	Includes one-letter local strain code(s).
NCPPB 2894	This isolate was isolated by M.L. Moffett 0238	MOFFETT 0238			MOFFETT 0238	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2896	The donor reference is 164/7					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2898	This isolate is also in the collections; ICMP 7080 This isolate was isolated by P. Roberts A724A	A 724A; ICMP 7080	A 724A; ICMP 7080			match	Includes one-letter local strain code(s).
NCPPB 2904	This isolate was isolated by P. Roberts A736	A 736	A 736			match	Includes one-letter local strain code(s).
NCPPB 2910	The donor reference is B5271 This isolate was isolated by ex R.W. Schneider 1186	B 5271; SCHNEIDER 1186	B 5271		SCHNEIDER 1186	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 2914	The donor reference is B5300 The source of this isolate was ex D. Norse 507	B 5300; NORSE 507	B 5300		NORSE 507	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 2918	The donor reference is BS469 This isolate was isolated by J.F. Bradbury BS469	BS 469	BS 469			match	
NCPPB 2919	The donor reference is B5530 This isolate was isolated by ex R.J. Williams CBZII 5972	B 5530; CBZII 5972	B 5530		CBZII 5972	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 2920	This isolate was isolated by J.F. Bradbury B5562	B 5562	B 5562			match	Includes one-letter local strain code(s).
NCPPB 2921	The donor reference is B5566 This isolate was isolated by ex P.S.W. Lin PP1312/60	B 5566; PP 1312/60	B 5566; PP 1312/60			match	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 2922	The donor reference is B5577 This isolate was isolated by J.F. Bradbury	B 5577	B 5577			match	Includes one-letter local strain code(s).
NCPPB 2925	The donor reference is B5582 This isolate was isolated by ex C. Nwigwe YI	B 5582	B 5582			match	Includes one-letter local strain code(s).
NCPPB 2927	This isolate was isolated by J.F. Bradbury B5632	B 5632	B 5632			match	Includes one-letter local strain code(s).
NCPPB 2928	The donor reference is B5643 This isolate was isolated by ex B.P.Chakravarti N318	B 5643; N 318	B 5643; N 318			match	Includes one-letter local strain code(s).
NCPPB 2930	The donor reference is B5806 This isolate was isolated by ex G. Jackson PP223	B 5806; PP 223	B 5806; PP 223			match	Includes one-letter local strain code(s).
NCPPB 2931	This isolate was isolated by J.F. Bradbury B5830	B 5830	B 5830			match	Includes one-letter local strain code(s).
NCPPB 2932	The donor reference is B5480 This isolate was isolated by ex B.S. Siradhana	B 5480	B 5480			match	Includes one-letter local strain code(s).
NCPPB 2933	The donor reference is B6132 This isolate was isolated by J.F. Bradbury B6132	B 6132	B 6132			match	Includes one-letter local strain code(s).
NCPPB 2934	The donor reference is B6141 This isolate was isolated by ex P.S. Shekhawat XWl	B 6141	B 6141			match	Includes one-letter local strain code(s).
NCPPB 2935	The donor reference is B6144 This isolate was isolated by ex P.S. Shekhawat D42	B 6144; D 42	B 6144; D 42			match	Includes one-letter local strain code(s).
NCPPB 2936	The donor reference is B 6149 This isolate was isolated by ex P.S. Shekhawat XA1	B 6149; XA 1	B 6149; XA 1			match	Includes one-letter local strain code(s).
NCPPB 2938	The donor reference is B6617 This isolate was isolated by ex Hasanuddin	B 6617	B 6617			match	Includes one-letter local strain code(s).
NCPPB 2949	The donor reference is DAR 26146 This isolate was isolated by ex J. McGeghan The source of this isolate was ex N.S.W. Dept. of Agri.	DAR 26146	DAR 26146			match	
NCPPB 2953	The donor reference is Tri lb This isolate is also in the collections; ICPB XP228	ICPB XP228; XP 228	XP 228		ICPB XP228	mismatch	
NCPPB 2955	The donor reference is Bt3 This isolate is also in the collections; ICPB XP230	BT 3; ICPB XP230; XP 230	BT 3; XP 230		ICPB XP230	mismatch	
NCPPB 2959	The donor reference is Reg This isolate is also in the collections; ICMP 5816, ICPB XP231, ATCC 51165, CFBP 1817, LMG 5743	ATCC 51165; CFBP 1817; ICMP 5816; ICPB XP231; LMG 5743; XP 231	ATCC 51165; CFBP 1817; ICMP 5816; LMG 5743; XP 231		ICPB XP231	mismatch	
NCPPB 2960	The donor reference is BII This isolate is also in the collections; ICPB XP232	ICPB XP232; XP 232	XP 232		ICPB XP232	mismatch	
NCPPB 2963	The donor reference is S62b This isolate is also in the collections; ICPB XP235	ICPB XP235; S 62B; XP 235	S 62B; XP 235		ICPB XP235	mismatch	Includes one-letter local strain code(s).
NCPPB 2965	The donor reference is IBBF-105 This isolate was isolated by ex J.R. Neto	IBBF 105	IBBF 105			match	
NCPPB 2967	The donor reference is IBBF-165 This isolate was isolated by ex A.G. Zagatto	IBBF 165	IBBF 165			match	
NCPPB 2968	This isolate is also in the collections; ATCC 11633, DSM 19128, CFBP 6864, LMG 27970 This isolate was isolated by ex W.H. Burkholder XV25 The source of this isolate was ex D.W. Dye X12	ATCC 11633; CFBP 6864; DSM 19128; LMG 27970; X 12; XV 25	ATCC 11633; CFBP 6864; DSM 19128; LMG 27970; X 12; XV 25			match	Includes one-letter local strain code(s).
NCPPB 2969	This isolate is also in the collections; ATCC 33915, CFBP 2523, ICMP 196, LMG 494, DSMZ 3583 This isolate was isolated by ex D.W. Dye ZA6	ATCC 33915; CFBP 2523; DSMZ 3583; ICMP 196; LMG 494; ZA 6	ATCC 33915; CFBP 2523; DSMZ 3583; ICMP 196; LMG 494; ZA 6			match	
NCPPB 2970	This isolate is also in the collections; ATCC 14179, ICMP 220, LMG 809 This isolate was isolated by ex M.K. Bryan 47 The source of this isolate was ex D.W. Dye ZI 2 ex ICPB XP5	ATCC 14179; BRYAN 47; ICMP 220; ICPB XP5; LMG 809; XP 5; ZI 2	ATCC 14179; ICMP 220; LMG 809; XP 5; ZI 2		BRYAN 47; ICPB XP5	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2973	This isolate is also in the collections; ATCC 11638, ICPB XC112, M.K. Patel 6, ICMP 358, LMG 675, CFBP 2973 This isolate was isolated by M.K. Patel The source of this isolate was ex D.W. Dye YD2 ex W.H. Burkholder XC18	ATCC 11638; CFBP 2973; ICMP 358; ICPB XC112; LMG 675; PATEL 6; XC 112; XC 18; YD 2	ATCC 11638; CFBP 2973; ICMP 358; LMG 675; XC 112; XC 18; YD 2		ICPB XC112; PATEL 6	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2977	This isolate is also in the collections; ATCC 23577, LMG 872, ICMP 5852 This isolate was isolated by M.K. Patel The source of this isolate was ex D.W. Dye WK2 ex M.J. Thirumalachar	ATCC 23577; ICMP 5852; LMG 872; WK 2	ATCC 23577; ICMP 5852; LMG 872; WK 2			match	
NCPPB 2978	This isolate is also in the collections; ICMP 2372, LMG 9059 The source of this isolate was ex D.W. Dye VNI ex J.J. Joubert Arum 3	ARUM 3; ICMP 2372; LMG 9059	ARUM 3; ICMP 2372; LMG 9059			match	
NCPPB 2982	This isolate is also in the collections; ICMP 8561, LMG 2167, ATCC 33616, CFBP 2432 This isolate was isolated by ex M. Goto PC1	ATCC 33616; CFBP 2432; ICMP 8561; LMG 2167; PC 1	ATCC 33616; CFBP 2432; ICMP 8561; LMG 2167; PC 1			match	
NCPPB 2983	This isolate is also in the collections; ICMP 4294, LMG 702 This isolate was isolated by ex M. Goto XPl	ICMP 4294; LMG 702	ICMP 4294; LMG 702			match	
NCPPB 2985	This isolate is also in the collections; CFBP 2533, ICMP 4321, LMG 7314 The source of this isolate was ex D.W. Dye ZJ12 ex W.J. Kemp 41	CFBP 2533; ICMP 4321; KEMP 41; LMG 7314; ZJ 12	CFBP 2533; ICMP 4321; LMG 7314; ZJ 12		KEMP 41	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2986	This isolate is also in the collections; ICMP 4805, LMG 9037 This isolate was isolated by ex M.L. Moffett 0406	ICMP 4805; LMG 9037; MOFFETT 0406	ICMP 4805; LMG 9037		MOFFETT 0406	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2987	This isolate is also in the collections; ICPB XP 237 This isolate was isolated by ex D.A. Burdekin	XP 237	XP 237			match	
NCPPB 2997	This isolate was isolated by ex R.G. Orellana 14	ORELLANA 14			ORELLANA 14	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2998	This isolate was isolated by ex R.G. Orellana 19	ORELLANA 19			ORELLANA 19	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3002	This isolate is also in the collections; ATCC 35933, ICMP 3125, LMG 5047, CFBP 2532 This isolate was isolated by ex Y.P. Rao	ATCC 35933; CFBP 2532; ICMP 3125; LMG 5047	ATCC 35933; CFBP 2532; ICMP 3125; LMG 5047			match	
NCPPB 3003	This isolate is also in the collections; ICPB XB110, NZRCC 10031, CFBP 2524, ICMP 194, ATCC 49082, LMG 7303 This isolate was isolated by ex D.W. Dye Z4	ATCC 49082; CFBP 2524; ICMP 194; ICPB XB110; LMG 7303; NZRCC 10031; XB 110; Z 4	ATCC 49082; CFBP 2524; ICMP 194; LMG 7303; NZRCC 10031; XB 110; Z 4		ICPB XB110	mismatch	Includes one-letter local strain code(s).
NCPPB 3005	This isolate was isolated by ex C.F. Robbs IBSP XM1	IBSP XM1; XM 1	IBSP XM1		XM 1	mismatch	Script also includes unsupported identifier(s).
NCPPB 3020	The donor reference is 426 & 427					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3022	This isolate was isolated by J.C. Lozano CIAT 1185	CIAT 1185	CIAT 1185			match	
NCPPB 3024	This isolate was isolated by D.L. Strider NC334	NC 334	NC 334			match	
NCPPB 3026	This isolate was isolated by S. Grasso 3	GRASSO 3			GRASSO 3	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3027	This isolate was isolated by S. Grasso 6	GRASSO 6			GRASSO 6	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3028	This isolate was isolated by J.R. Neto X-84	X 84	X 84			match	Includes one-letter local strain code(s).
NCPPB 3035	This isolate is also in the collections; CFBP 2534, ICMP 5834, ATCC 9563, The source of this isolate was ex ATCC 9563 ex W.H. Burkholder XP20	ATCC 9563; CFBP 2534; ICMP 5834; XP 20	ATCC 9563; CFBP 2534; ICMP 5834; XP 20			match	
NCPPB 3040	This isolate was isolated by J.E. Sellwood A895	A 895	A 895			match	Includes one-letter local strain code(s).
NCPPB 3041	This isolate was isolated by P. Roberts A905	A 905	A 905			match	Includes one-letter local strain code(s).
NCPPB 3058						match	
NCPPB 3059	This isolate was isolated by H. Maraite Z291	Z 291	Z 291			match	Includes one-letter local strain code(s).
NCPPB 3060	This isolate was isolated by H. Maraite N578	N 578	N 578			match	Includes one-letter local strain code(s).
NCPPB 3061	This isolate is also in the collections; ICMP 8816, LMG 671 This isolate was isolated by M. Maraite R662	ICMP 8816; LMG 671; R 662	ICMP 8816; LMG 671; R 662			match	Includes one-letter local strain code(s).
NCPPB 3062	This isolate is also in the collections; LMG 672 This isolate was isolated by M. Maraite R704	LMG 672; R 704	LMG 672; R 704			match	Includes one-letter local strain code(s).
