ncppb_number	snapshot_status	ncppb_current_name	expected_genus	scope_status	attention_level	attention_category	final_sequence_use_status	next_action	ncbi_biosample_match_count	ncbi_assembly_count_all_confirmed_links	ncbi_sra_run_count_all_confirmed_links	ncbi_eligible_assembly_count	ncbi_eligible_sra_run_count	ncbi_taxonomy_blocked_resource_count	ncbi_data_status	phylogeny_readiness	manual_review_required	metadata_annotation_status	catalogue_host	catalogue_country	biosample_hosts	biosample_geographic_locations	biosample_collection_years	confirmed_biosample_accessions	linked_assembly_accessions	linked_sra_run_accessions	eligible_assembly_accessions	eligible_sra_run_accessions	audit_table_pointer
NCPPB 2444	present_in_both	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Manihot esculenta	Colombia									
NCPPB 2446	present_in_both	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Oryza sativa	Japan									
NCPPB 2475	present_in_both	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	Xanthomonas	current_xanthomonas	P3	same_pathovar_historical_or_updated_species_name	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	2	2	0	0	0	8	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_use	yes	partial_context_metadata	Vitis vinifera	India	Vitis vinifera	India	1972	SAMN26688428; SAMEA3139044	GCF_000723725.2; GCF_053538855.1				01_taxonomy_pathovar_audit_49.tsv
NCPPB 2490	present_in_both	Xanthomonas campestris pv. vitiswoodrowii (Patel & Kulkarni 1951) Dye 1978	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Vitis vinifera	India									
NCPPB 2492	present_in_both	Xanthomonas euvesicatoria pv. clerodendri (Patel et al. 1952) Harrison et al. 2023	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Clerodendron sp.	India									
NCPPB 2493	present_in_both	Sphingomonas paucimobilis (Holmes et al.1977) Yabuchi et al. 1990	Sphingomonas	reclassified_outside_xanthomonas	P2	reclassified_outside_xanthomonas_scope_decision	only_after_supervisor_scope_decision	decide whether retained as outgroup/historical record; do not assume ingroup membership	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Cucurbita sp. (gourd)	Brunei									
NCPPB 2494	present_in_both	Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P2	wgs_reads_require_assembly_and_qc	candidate_after_read_qc_and_assembly	download reads; trim, assemble, then complete genome QC and ANI	1	0	2	0	2	0	confirmed_sequence_available	raw_wgs_reads_require_assembly_and_qc	no	partial_context_metadata	Cyamopsis tetragonolobus	India	Cyamopsis tetragonoloba	India		SAMN42180197		SRR29655433; SRR30037606		SRR29655433; SRR30037606	
NCPPB 2495	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Gossypium hirsutum	USSR									
NCPPB 2496	present_in_both	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Sesamum indicum	India									
NCPPB 2497	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Alternathera philoxeroides	India									
NCPPB 2498	present_in_both	Xanthomonas euvesicatoria pv. convolvuli (Nagarkoti et al.1973) Harrison et al. 2023	Xanthomonas	current_xanthomonas	P3	same_pathovar_historical_or_updated_species_name	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	1	1	1	0	0	6	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_use	yes	partial_context_metadata	Convolvulus arvensis	India	Convolvulus arvensis	India		SAMN19988981	GCF_019201245.1	SRR15305411			01_taxonomy_pathovar_audit_49.tsv
NCPPB 2499	present_in_both	Xanthomonas citri pv. aracearum (Berniac 1974) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Xanthosoma sagittifolium	West Indies									
NCPPB 2503	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum officinarum	Martinique									
NCPPB 2517	present_in_both	Xanthomonas campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Cheiranthus cheiri	UK	Erysimum cheiri	United Kingdom	1973	SAMN36368330	GCA_035023345.1	SRR25205298	GCA_035023345.1	SRR25205298	
NCPPB 2550	present_in_both	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata											
NCPPB 2567	present_in_both	Xanthomonas cucurbitae (ex Bryan 1926) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	8	1	8	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Cucumis sativus (cucumber)	USA	Cucurbita maxima	USA: New York	1926	SAMN10290145	GCF_009883735.1	SRR10176391; SRR10176392; SRR10200225; SRR10200226; SRR10200227; SRR10200228; SRR10200229; SRR10200230	GCF_009883735.1	SRR10176392; SRR10176391; SRR10200230; SRR10200229; SRR10200228; SRR10200227; SRR10200226; SRR10200225	
NCPPB 2572	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Capsicum frutescens	USA									
NCPPB 2573	present_in_both	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Solanum lycopersicum	USA									
NCPPB 2574	present_in_both	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Capsicum frutescens	USA									
NCPPB 2575	present_in_both	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Solanum lycopersicum	USA									
NCPPB 2576	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Solanum lycopersicum	USA									
NCPPB 2586	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	2	3	2	3	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Brassica juncea	India	Brassica juncea	India	1972	SAMN42161505; SAMN22552828	GCF_020813175.1; GCF_041475775.1	SRR29644170; SRR29823156; SRR30040119	GCF_041475775.1; GCF_020813175.1	SRR29644170; SRR30040119; SRR29823156	
NCPPB 2587	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Prunus armeniaca	South Africa									
NCPPB 2588	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Prunus persica	South Africa									
NCPPB 2592	present_in_both	Xanthomonas euvesicatoria pv. betae (Robbs et al. 1981) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Beta vulgaris (red beet)	Brazil									
NCPPB 2593	present_in_both	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Capsicum frutescens	Brazil									
NCPPB 2594	present_in_both	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Capsicum frutescens	Brazil	Capsicum frutescens	Brazil		SAMN03177544	GCF_001691375.1	SRR4714149	GCF_001691375.1	SRR4714149	
NCPPB 2595	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Solanum lycopersicum	Brazil									
NCPPB 2597	present_in_both	Xanthomonas cucurbitae (ex Bryan 1926) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	0	1	0	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Curcurbita maxima	New Zealand	Cucurbita maxima	New Zealand	1968	SAMN05560221	GCF_002939885.1		GCF_002939885.1		
NCPPB 2605	present_in_both	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Begonia sp.	UK (Channel Isles)									
NCPPB 2614	present_in_both	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Vitis vinifera	India									
NCPPB 2615	present_in_both	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Vitis vinifera	India									
NCPPB 2616	present_in_both	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Vitis vinifera	India									
NCPPB 2632	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	2	1	2	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Lolium perenne	UK	Lolium perenne	United Kingdom	1973	SAMN42161506	GCF_041228075.1	SRR29644169; SRR30016876	GCF_041228075.1	SRR29644169; SRR30016876	
NCPPB 2649	present_in_both	Xanthomonas vasicola pv. arecae (Rao & Mohan 1970) Dye 1978. emend. Studholme et al., 2020	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	0	1	0	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Areca catechu	India	Areca catechu	India	1974	SAMN03140274	GCF_000770355.2		GCF_000770355.2		
NCPPB 2654	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	2	2	2	2	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Phaseolus vulgaris (navy bean)	UK	Phaseolus vulgaris; Phaseolus vulgaris (Navy bean)	United Kingdom	1974	SAMN42161507; SAMN35699823	GCF_030287385.1; GCF_056725245.1	SRR29644168; SRR30040118	GCF_056725245.1; GCF_030287385.1	SRR29644168; SRR30040118	
NCPPB 2665	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Phaseolus vulgaris	Italy	Phaseolus vulgaris	Italy	1973	SAMN03142403	GCF_000775195.1	SRR2052428	GCF_000775195.1	SRR2052428	
NCPPB 2695	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Lolium multiflorum	Switzerland									
NCPPB 2696	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Dactylis glomerata	Switzerland									
NCPPB 2697	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Lolium multiflorum	Switzerland									
NCPPB 2698	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Lolium multiflorum	Switzerland									
NCPPB 2699	present_in_both	Xanthomonas graminis pv. arrhenatheri Tambong et al. 2024	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Arrhenatherum elatius	Switzerland									
NCPPB 2700	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	2	0	2	0	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Dactylis glomerata	Switzerland	Dactylis glomerata	Switzerland	1973	SAMN03892232; SAMN18876882	GCF_001269865.1; GCF_021903375.1		GCF_001269865.1; GCF_021903375.1		
NCPPB 2701	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Festuca pratensis	Switzerland									
NCPPB 2817	present_in_both	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Hordeum vulgare	Canada									
NCPPB 2819	present_in_both	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Bromus inermis	Canada									
NCPPB 2820	present_in_both	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P1	manual_review_required_non_audit	not_automatically_usable	review the remaining identity/taxonomy reason in manual_review_candidates.tsv; approve or reject before sequence use	0	0	0	0	0	0	provisional_match_requires_review	identity_review_required_before_use	yes	missing_context_metadata	Hordeum vulgare	Canada									
NCPPB 2821	present_in_both	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	0	1	0	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Triticum durum	Canada	Triticum turgidum subsp. durum	Canada	1966	SAMN18753780	GCF_021903275.1		GCF_021903275.1		
NCPPB 2822	present_in_both	Xanthomonas translucens pv. secalis (Reddy et al. 1924) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	0	1	0	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Secale cereale	Canada		Canada	1966	SAMN18753387	GCF_021903295.1		GCF_021903295.1		
NCPPB 2825	present_in_both	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Triticum sp. x Secale sp. (triticale)	Canada									
NCPPB 2826	present_in_both	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Triticum sp. x Secale sp. (triticale)	Canada									
NCPPB 2827	present_in_both	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas	current_xanthomonas	P1	manual_review_required_non_audit	not_automatically_usable	review the remaining identity/taxonomy reason in manual_review_candidates.tsv; approve or reject before sequence use	0	0	0	0	0	0	provisional_match_requires_review	identity_review_required_before_use	yes	missing_context_metadata	Agropyron repens	Canada									
NCPPB 2828	present_in_both	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Triticum aestivum	Canada									
NCPPB 2829	present_in_both	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Hordeum vulgare	Canada									
NCPPB 2831	present_in_both	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Triticum durum.	Canada									
NCPPB 2832	present_in_both	Xanthomonas citri pv. aracearum (Berniac 1974) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P2	wgs_reads_require_assembly_and_qc	candidate_after_read_qc_and_assembly	download reads; trim, assemble, then complete genome QC and ANI	1	0	1	0	1	0	confirmed_sequence_available	raw_wgs_reads_require_assembly_and_qc	no	partial_context_metadata	Xanthosoma sagittifolium	Guadeloupe	Xanthosoma sagittifolium	Guadeloupe	1972	SAMN42278575		SRR29692760		SRR29692760	
NCPPB 2834	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Gossypium hirsutum	Tanzania									
NCPPB 2835	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Gossypium hirsutum	Tanzania									
NCPPB 2836	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata		Tanzania									
NCPPB 2837	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Gossypium hirsutum	Tanzania									
NCPPB 2838	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Gossypium hirsutum	Tanzania									
NCPPB 2839	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Gossypium hirsutum	Tanzania									
NCPPB 2840	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Gossypium hirsutum	Tanzania									
NCPPB 2856	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Chrysanthemum morifolium	Netherlands	Chrysanthemum x morifolium	Netherlands	1975	SAMN42161508	GCF_056675635.1	SRR29644167	GCF_056675635.1	SRR29644167	
NCPPB 2857	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Brassica napus	UK	Brassica napus	not collected		SAMN36346974	GCA_035026865.1	SRR25183327	GCA_035026865.1	SRR25183327	
NCPPB 2859	present_in_both	Stenotrophomonas sp.	Stenotrophomonas	reclassified_outside_xanthomonas	P2	reclassified_outside_xanthomonas_scope_decision	only_after_supervisor_scope_decision	decide whether retained as outgroup/historical record; do not assume ingroup membership	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Corylus maxima	Turkey									
NCPPB 2864	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Chrysanthemum morifolium	Netherlands	Chrysanthemum x morifolium	Netherlands	1975	SAMN42161509	GCF_056675615.1	SRR29644166	GCF_056675615.1	SRR29644166	
